番剧名,图片链接,播放量,弹幕量,投稿时间
【1月】進化理論(Shinkalion) 58【RAW】720P,http://i0.hdslb.com/bfs/archive/87d35226ce1e79194a4374c8ab714d85dc157afe.jpg,1888,14,2019-02-18 16:04:41
【1月】進化理論(Shinkalion) 57【RAW】720P,http://i2.hdslb.com/bfs/archive/dd24bc6ea0ac2dc15a9afb33fbd475aa1900d5af.jpg,2156,1,2019-02-18 16:04:35
【6月/生肉】未来卡 神搭档对战 第37话,http://i2.hdslb.com/bfs/archive/8a45195300c4f2b926af1cb5c76ec2114765b384.jpg,1190,6,2019-02-18 14:21:32
【WEB】偶像星愿 外传／IDOLiSH7 Vibrato【06】PARTY TIME TOGETHER後篇 【個人字幕】,http://i0.hdslb.com/bfs/archive/3ca2aae0fe0e0807884fee6fe06f32f673e6de57.jpg,11353,434,2019-02-18 11:06:43
【生肉】精靈寶可夢太陽與月亮SM-第109集-島嶼女王誕生!小智的大考驗!![720P],http://i0.hdslb.com/bfs/archive/c260b5a6cac241a7f4159785fd679125a75e0810.jpg,7255,169,2019-02-18 11:06:03
【4月】雷顿神秘侦探社 ~ 卡特莉的解谜事件簿 ~ 42【三日月万事屋 X 糖点字幕组 / 中日双语】,http://i0.hdslb.com/bfs/archive/6c08e36e8156cb95ce670b46a83f4bcf84b461fd.png,3765,231,2019-02-18 11:02:25
【1月】琴之森 第二季 04（#16）【独家正版】,http://i2.hdslb.com/bfs/archive/5367ca34c696b5885995190503dc557327dde1ff.jpg,37283,679,2019-02-18 02:00:00
【1月】Mysteria Friends（巴哈姆特之怒）/ 玛娜莉亚魔法学院 05,http://i2.hdslb.com/bfs/archive/2b828401553cf02e4e963ffb0f740683b531b96f.jpg,98662,2986,2019-02-16 18:22:38
【12月番】爆丸戰斗之星(bakugan-battle-planet)-第十話[生肉],http://i2.hdslb.com/bfs/archive/6f1e45c18ed2c70a2f6c309ff66c71d6cf5a6427.jpg,1205,0,2019-02-03 19:56:37
【1月】笨拙之极的上野 07【独家正版】,http://i2.hdslb.com/bfs/archive/ce5e1752a705a3a6d0524e7088cce7794212d8f2.jpg,356200,5569,2019-02-17 19:08:56
【十二月/熟肉/720p】奇迹瓢虫与超级猫S03E05,http://i0.hdslb.com/bfs/archive/257d1c56095079b9394c67d3921b07e11c05a87c.png,15976,149,2019-02-17 19:18:38
【一月】gen:LOCK - S01E05 - Best Defense【生肉】,http://i0.hdslb.com/bfs/archive/b6fd74fc28929e8c7aa8c5cc23a60416ab7cb09c.jpg,2661,20,2019-02-17 19:18:23
【连载】哆啦A梦新番551【钉铛】,http://i0.hdslb.com/bfs/archive/2316c07611b6c81dc262e27577a7e92c7a4a46ca.jpg,26623,797,2019-02-17 19:15:04
【4月】博人传 火影忍者新时代 94,http://i2.hdslb.com/bfs/archive/5693f187d3b7a784649dfe3451ad48315f406317.jpg,182487,4993,2019-02-17 17:30:00
【4月】雷顿神秘侦探社 ~ 卡特莉的解谜事件簿 ~ 41【三日月万事屋 X 糖点字幕组 / 中日双语】,http://i1.hdslb.com/bfs/archive/e855f9d68040135ad05ce5155cef3be85584ba52.png,6413,321,2019-02-17 16:43:23
【英配】明治东京恋咖 04【生肉】,http://i1.hdslb.com/bfs/archive/9dae52b0717322e1ec44db9740d03a834658d2fd.jpg,535,0,2019-02-17 16:43:15
【英配】明治东京恋咖 03【生肉】,http://i1.hdslb.com/bfs/archive/da8a316c9a5f042564ff1e3c57c377c19abee123.jpg,400,0,2019-02-17 16:43:12
【1月】不愉快的怪物庵 续 07【英配生肉】,http://i2.hdslb.com/bfs/archive/5c91319fef49fe51d923d01d620b39e0fe2f1d5a.png,1651,1,2019-02-17 12:35:53
