番剧名,图片链接,播放量,弹幕量,投稿时间
【1月】迷你刀使 05【自制中字/1080P】,http://i2.hdslb.com/bfs/archive/6a442b2308aa15d0477961648f9b22d5d3540376.png,3651,50,2019-02-11 11:36:44
【1月】荒野的寿飞行队 05【CC字幕】,http://i1.hdslb.com/bfs/archive/8602ae1f9197ef29ddab5fcacba06ca0fa8c1335.jpg,10346,250,2019-02-11 11:34:18
【十二月/熟肉/720p】奇迹瓢虫与超级猫S03E03,http://i2.hdslb.com/bfs/archive/2b44ba5bbffc55ee2d6a928aa2a01f61f0032e5d.png,23216,893,2019-02-11 11:33:41
【1月】琴之森 第二季 03（#15）【独家正版】,http://i0.hdslb.com/bfs/archive/4e075c44c90f7fb7a7df3e2136f5892dc87f70b7.jpg,55067,712,2019-02-11 01:31:33
【1月】Mysteria Friends（巴哈姆特之怒）/ 玛娜莉亚魔法学院 04,http://i1.hdslb.com/bfs/archive/08d237ffe018ec5e4c3e45ccc9ec1972e1abf2a3.jpg,181715,4772,2019-02-09 19:42:24
【1月】笨拙之极的上野 06【独家正版】,http://i0.hdslb.com/bfs/archive/fb959e6b280bcbcc15390485763a58c3261066f7.jpg,692375,11766,2019-02-11 00:15:00
【12月番】爆丸戰斗之星(bakugan-battle-planet)-第八話[生肉],http://i2.hdslb.com/bfs/archive/6300ca95a803f899325caec5c84a6993e84a3d01.jpg,1087,0,2019-02-03 19:56:34
【1月】不愉快的怪物庵 续 06【英配生肉】,http://i2.hdslb.com/bfs/archive/d6a90277841d39f32165f5c76b06062664ca0a0e.png,3160,3,2019-02-10 10:17:25
【720P】平假名男子 ～序～【生肉】,http://i1.hdslb.com/bfs/archive/df19bb3d76cb760cfacda0886f2857b9540a1af9.jpg,2506,81,2019-02-10 20:11:07
【台配国语】见习神明 秘密的cocotama第66集,http://i2.hdslb.com/bfs/archive/becabdc3d2bf3ba1899b541c4e20414c605a3bf1.jpg,854,8,2019-02-10 20:08:09
【ViuTV粤语】三年E班 第二季 17,http://i2.hdslb.com/bfs/archive/4f70c6641fc801b6b0efb094e3bebe2556bf88a7.jpg,2198,4,2019-02-10 20:08:02
【4月】博人传 火影忍者新时代 93,http://i1.hdslb.com/bfs/archive/ea5006933498d0abe4a73fa9b5298cf61e9b08a9.jpg,342266,9312,2019-02-10 17:30:00
【CC熟肉】gen:LOCK 04,http://i2.hdslb.com/bfs/archive/ca3d9c8a2c124fde015b7664469ba02e2cefa626.jpg,6667,95,2019-02-10 16:35:44
【TVB粤语繁中】新干线战士  24集,http://i2.hdslb.com/bfs/archive/f833e11be4e4a10a1245005dfd05e23ca346b965.jpg,980,1,2019-02-10 12:52:33
【1月】迷你刀使 05【生肉】,http://i1.hdslb.com/bfs/archive/b4e52701c2dab90fea407066b6b840a9508efd86.png,1919,16,2019-02-10 12:52:28
【4月/日语生肉】电视衰人Nanana 17,http://i0.hdslb.com/bfs/archive/15134586f925b2f3c51b7e866c332e718c1e6764.jpg,226,0,2019-02-10 12:52:19
【1月】魔法少女特殊战明日香 05【生肉】,http://i1.hdslb.com/bfs/archive/27e0acae590461197f2eaac13f059f5d65bf05e2.jpg,8002,10,2019-02-09 20:52:29
【5月】游戏王VRAINS 088【VRAINSTORM】,http://i2.hdslb.com/bfs/archive/0dff7e502dcfa01c4910db25087b8a099bd5057d.png,60514,1629,2019-02-10 12:51:53
【1月】Double Decker! 道格&基里爾（僅限港澳台地區） EX01,http://i2.hdslb.com/bfs/archive/9727491febfb8fdbf6f18c0a392115f909a55c7a.jpg,3063,201,2019-02-10 11:00:00
【10月】	美妙☆频道 44,http://i0.hdslb.com/bfs/archive/61ee962a5c7fa71396a96d2ef6f5c0f746218411.jpg,5164,137,2019-02-09 20:15:20
【10月】	爱玩怪兽 18,http://i2.hdslb.com/bfs/archive/fdccac395dafd21b182828b6abd188a1d489da0d.jpg,7506,70,2019-02-09 19:41:08
【1月】W'Z 06【独家正版】,http://i1.hdslb.com/bfs/archive/60a54ebb9c87e7148d0bdc483e46b3ac2a79b9d6.jpg,108827,1097,2019-02-10 01:30:00
【10月】刀剑神域 Alicization 18,http://i0.hdslb.com/bfs/archive/69cac0100432cbe31723922fb14c72ecba120f7e.jpg,2085576,55236,2019-02-10 00:30:00
【1月】辉夜大小姐想让我告白~天才们的恋爱头脑战~ 05【独家正版】,http://i1.hdslb.com/bfs/archive/370b8fd2f6164dee3271af5853bd545ff31addd4.jpg,4021857,159397,2019-02-10 00:00:00
【1月】迷你刀使 04【生肉】,http://i0.hdslb.com/bfs/archive/b9a268930842e1022fe417eeec0e0b624f0abb76.png,1490,0,2019-02-09 22:02:54
【1月】不愉快的怪物庵 续 06,http://i2.hdslb.com/bfs/archive/373caec42563a47cf7d9000efb20ff11ccf2c6f9.jpg,231057,1956,2019-02-09 22:00:00
【1月】魔法少女特殊战明日香 03【英配生肉】,http://i2.hdslb.com/bfs/archive/af92be6ed6628fb991a70c6266f5aaecacd44e2d.png,2613,2,2019-02-09 10:04:49
【1月】迷你刀使 03【生肉】,http://i0.hdslb.com/bfs/archive/eff6e3a2a2fc8f711dd81fdc20b543558154257b.png,1354,3,2019-02-09 20:04:36
【1月】迷你刀使 02【生肉】,http://i1.hdslb.com/bfs/archive/887204782a9f8f86aa39266d06b7b025b9c54220.png,845,1,2019-02-09 19:50:57
【10月1080P】怪物猎人物语ride on 新篇 27 下集（全第75话）【咪路fans＆樱萌动漫】,http://i0.hdslb.com/bfs/archive/7e7f4f823ed65c4f6e5459a233382f764b287586.jpg,2417,2,2019-02-09 19:29:34
【10月/1080P】怪物猎人物语ride on 新篇 27上集（全第75话）【咪路fans＆樱萌动漫】,http://i1.hdslb.com/bfs/archive/12b1b5252d65e16f1ace6947a55dce6efac2ac0a.jpg,1597,1,2019-02-09 19:05:00
【10月/1080p】怪物猎人物语ride on 新篇 26 下集（全第74话）【咪路fans＆樱萌动漫】,http://i0.hdslb.com/bfs/archive/d708695be90323d041816e871d357dab094ca57e.jpg,2271,1,2019-02-09 19:04:40
【1月】迷你刀使 01【生肉】,http://i1.hdslb.com/bfs/archive/a673c7e523e3407fd3ef0ab8a047735cc1d89f7d.png,872,1,2019-02-09 19:04:35
【1月】迷你刀使 00【生肉】,http://i1.hdslb.com/bfs/archive/0fbd7d41e882b434015b6dde5b28aa56e2312455.png,442,1,2019-02-09 19:04:35
【1月】迷你刀使 04  【茉语星梦&风之圣殿字幕组】,http://i2.hdslb.com/bfs/archive/9a16445f9c6caaea59425cb8e4792ccefe877310.jpg,2556,13,2019-02-09 19:04:35
【1月】迷你刀使 03 【茉语星梦&风之圣殿字幕组】,http://i2.hdslb.com/bfs/archive/f2842b251a866993d393bcff8550f39a5d70a89b.jpg,1573,24,2019-02-09 19:04:35
【1月】迷你刀使 02 【茉语星梦&风之圣殿字幕组】,http://i0.hdslb.com/bfs/archive/c1916bf7331539890698027d757eabe8627777c2.jpg,1161,10,2019-02-09 19:04:35
【1月】迷你刀使 01 【茉语星梦&风之圣殿字幕组】,http://i1.hdslb.com/bfs/archive/0054a52a1e2d603b5618efbb5c964bb7eaa924ec.jpg,1594,13,2019-02-09 19:04:35
【10月】逆转裁判 第二季 16,http://i1.hdslb.com/bfs/archive/4146cf2f434604a39313db0b582e850121c071d9.jpg,69922,1332,2019-02-09 18:00:00
【1月】迷你刀使 00 【茉语星梦&风之圣殿字幕组】,http://i0.hdslb.com/bfs/archive/fb82f1f000d79d57ec7f5e9ae03a243cfd44a598.jpg,684,3,2019-02-09 16:33:41
【10月1080P】怪物猎人物语ride on 新篇 26 上集（全第74话）【咪路fans＆樱萌动漫】,http://i0.hdslb.com/bfs/archive/145e8d6d7d82ad2e9e8dc094d493ed24596f0f94.jpg,1361,3,2019-02-09 16:33:05
【10月】欢迎光临，千岁酱 18【生肉】,http://i2.hdslb.com/bfs/archive/9f6a7567436ae8dd459778626e2867cbe4452ba5.png,355,0,2019-02-09 16:32:43
【10月】欢迎光临 千岁酱 18【自制字幕】,http://i1.hdslb.com/bfs/archive/bbf7150d54bb5fb0440ec7248a4d0c6bebc61e3b.jpg,1463,4,2019-02-09 12:26:28
【1月】魔法少女特殊战明日香 05话【中字】,http://i1.hdslb.com/bfs/archive/4733c40c4ec7de0b43b31d103c3a85e651d68ab2.jpg,21735,455,2019-02-09 07:48:05
【TVB粤语繁中】新干线战士  23集,http://i0.hdslb.com/bfs/archive/5ec73d8ca4904548c106c4c33efc499a045a846b.jpg,542,2,2019-02-09 12:26:05
【4月】暖暖日记 第三季 45【独家正版】,http://i1.hdslb.com/bfs/archive/03bf7779b935b9b5ed447e0cd7aa4ecfac27c692.jpg,8424,60,2019-02-08 17:58:44
【10月】JOJO的奇妙冒险 黄金之风 18【独家正版】,http://i2.hdslb.com/bfs/archive/ae6fdbd830115077dc333ea30dffaf2bc89c4ed8.jpg,1629468,35976,2019-02-08 19:26:47
【1月】B-PROJECT～绝顶＊Emotion～ 05【独家正版】,http://i0.hdslb.com/bfs/archive/318fb2d80244d4c16df43780f6f563d1967b5492.jpg,27404,454,2019-02-09 00:30:00
【1月】荒野的寿飞行队 04【千夏字幕组】,http://i0.hdslb.com/bfs/archive/da59e63c469d92e2d6f163b37d2670e5a4eac65f.png,18389,629,2019-02-08 23:13:20
【生肉】 哆啦A梦新番 550 (2019.02.08),http://i0.hdslb.com/bfs/archive/70dc007b6dcf78222f8aee502bd52a672ffcadc1.jpg,4176,151,2019-02-08 23:13:02
【10月】火之丸相扑 17,http://i2.hdslb.com/bfs/archive/839fb28a8205631f9fec3bfeb8556bc92ac1d699.jpg,114078,761,2019-02-08 23:00:00
【1月】笑容的代价 06【独家正版】,http://i2.hdslb.com/bfs/archive/164bfd826f90322834f914d3b3593183f60e233d.jpg,95422,2173,2019-02-08 19:08:44
【10月】魔法禁书目录 第三季 18,http://i1.hdslb.com/bfs/archive/568092be175a7c0bc71e0a5e6cc094dc3f63e6b6.jpg,953702,25155,2019-02-08 20:05:28
【1月】约会大作战 第三季 05,http://i2.hdslb.com/bfs/archive/788df21bbd00fe15c099602b054e91599259d7cc.jpg,1906119,84379,2019-02-08 22:00:00
